,tittle,hash,chapter,kitsu_id
99,[PuyaSubs!] Boruto - Naruto Next Generations - 170 [ESP-ENG][720p][D42ADDD8].mkv,36f3249afd6e6912c3875f2e78abedc324e74c92,170,13051
100,[PuyaSubs!] Boruto - Naruto Next Generations - 170 [ESP-ENG][1080p][2F2DFF7A].mkv,b05a02a7dfbdd86be5fc98e315eddb7279f0ce17,170,13051
101,[PuyaSubs!] Healin Good Precure - 29 [ESP-ENG][720p][41F3492C].mkv,84fc4d9d112c3771fc09e90119f358f6e4fee1bd,29,null
102,[PuyaSubs!] Healin Good Precure - 29 [ESP-ENG][1080p][DC18B4D0].mkv,be6bc183351d85e1552a0ee03f8893c87d7d6726,29,null
103,[PuyaSubs!] Digimon Adventure (2020) - 20 [ESP-ENG][720p][A4B97C2E].mkv,1ae8018b6afab3e95c52e388621283c929e4324a,20,null
104,[PuyaSubs!] Digimon Adventure (2020) - 20 [ESP-ENG][1080p][EF55780F].mkv,4125181e9b3aa53396937de066fe6d87b70ca4ca,20,null
105,[PuyaSubs!] Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III - 03 [ESP-ENG][V2][1080p][1FB70E8B].mkv,29badba8670486d3dec37376e4e704f658ec780b,3,42583
106,[PuyaSubs!] Iwa Kakeru! - Sport Climbing Girls - 03 [ESP-ENG][720p][24C4F82F].mkv,d32e1f619dbe1db4f4f60763e80fff57b3a1ab7e,3,43535
107,[PuyaSubs!] Iwa Kakeru! - Sport Climbing Girls - 03 [ESP-ENG][1080p][F2B42C84].mkv,c4bf779b461827b020ef175f3f7c7bbc9283928f,3,43535
108,[PuyaSubs!] Gochuumon wa Usagi Desu ka - Bloom - 02 [ESP-ENG][720p][20570DC2].mkv,c2c626f963699afde7fba6d639143f4213928886,2,null
109,[PuyaSubs!] Gochuumon wa Usagi Desu ka - Bloom - 02 [ESP-ENG][1080p][53162DA3].mkv,54820d2ada1e66bf4c2f8d4d4c15a826c952cafb,2,null
110,[PuyaSubs!] Dragon Quest - Dai no Daibouken (2020) - 03 [ESP-ENG][720p][B2E51A5A].mkv,90e8bf531770aee84efec2afc5043b66a93fe636,3,42900
111,[PuyaSubs!] Dragon Quest - Dai no Daibouken (2020) - 03 [ESP-ENG][1080p][B16730FD].mkv,064ac07800445f1fdc93b8631b8a667ea9b4fafb,3,42900
112,[PuyaSubs!] Major 2nd S2 - 22 [ESP-ENG][720p][DE419B4D].mkv,9cf185774ff853ac3f49b8f94923ff056195f0f5,22,null
113,[PuyaSubs!] Major 2nd S2 - 22 [ESP-ENG][1080p][892B595D].mkv,0cc0baea87ddad97cfa1f50d0a4dd2e5adcb309b,22,null
114,[PuyaSubs!] Hanyou no Yashahime - Sengoku Otogizoushi - 03 [ESP-ENG][720p][9206657B].mkv,05ffeb91fb3acd92d2f820a937a5c0424d4415cf,3,43180
115,[PuyaSubs!] Hanyou no Yashahime - Sengoku Otogizoushi - 03 [ESP-ENG][1080p][986F4EB9].mkv,bc030cb5102c52983412f313069205bd32da1c0b,3,43180
116,[PuyaSubs!] Haikyuu S4 - 16 [ESP-ENG][720p][964DA12E].mkv,d9327989fcb3971a47dd53760df519c15e4adb61,16,null
117,[PuyaSubs!] Haikyuu S4 - 16 [ESP-ENG][1080p][679F9473].mkv,7eb727f3a96cb4b6fdbe8ebef0c29ca6bb6c6239,16,null
118,[PuyaSubs!] Inu to Neko Docchi mo Katteru to Mainichi Tanoshii - 03 [ESP-ENG][720p][6FDF87F3].mkv,30a4131355f9654ce1d563b2565ab2acc42e44aa,3,43550
119,[PuyaSubs!] Inu to Neko Docchi mo Katteru to Mainichi Tanoshii - 03 [ESP-ENG][1080p][C12A4A0B].mkv,9fb3177ee17dc997a125141a1383aa9e94db650d,3,43550
120,[PuyaSubs!] Jujutsu Kaisen (TV) - 03 [ESP-ENG][720p][D5E92E98].mkv,8fd75e5cbb1424e99f74528c2736f161e744fd3f,3,null
121,[PuyaSubs!] Jujutsu Kaisen (TV) - 03 [ESP-ENG][1080p][825644F7].mkv,53ebb98da14ad339746225f41265bbdf380a171f,3,null
122,[PuyaSubs!] Rail Romanesque - 03 [ESP-ENG][720p][D29A6386].mkv,39a6a42d992e7db707f53d3f9ce03850c225fc4c,3,43553
123,[PuyaSubs!] Rail Romanesque - 03 [ESP-ENG][1080p][4134B7FE].mkv,9674d8e8964872b51d775b79536d1d0e052eb923,3,43553
124,[PuyaSubs!] Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III - 03 [ESP-ENG][720p][B7540483].mkv,fb2ed026c090dec9f738fc2668b690ca2b90705d,3,42583
125,[PuyaSubs!] Tonikaku Kawaii - 03 [ESP-ENG][720p][9A4AAB64].mkv,564649fb619c8bc81b1d141c0c09bf1bacf12daf,3,43034
126,[PuyaSubs!] Tonikaku Kawaii - 03 [ESP-ENG][1080p][F919C9C9].mkv,317f74991b4453bc6eb6f1bc92cefb88c4b95407,3,43034
127,[PuyaSubs!] 100-man no Inochi no Ue ni Ore wa Tatteiru - 03 [ESP-ENG][720p][57837F22].mkv,919f9c42b60ca368e0d496cd0e715c1838151eb4,3,43367
128,[PuyaSubs!] 100-man no Inochi no Ue ni Ore wa Tatteiru - 03 [ESP-ENG][1080p][B8D7F37C].mkv,b5feb22c77724e9cc157f9c9c77a865729cb8f97,3,43367
129,[PuyaSubs!] Guraburu! - 02 [ESP-ENG][720p][42AFE8B5].mkv,59919f1f69d3e22947e229f0c1c446d936a3f847,2,43102
130,[PuyaSubs!] Guraburu! - 02 [ESP-ENG][1080p][153F52BC].mkv,47a065f6d77b67607432c1bbaaace976651bfbb8,2,43102
131,[PuyaSubs!] Animation Kapibara-san - 01 [ESP-ENG][720p][CDBDBACD].mkv,1cf0ffa0cca13f5373640cba38c13e5e129dfd3e,1,null
132,[PuyaSubs!] Animation Kapibara-san - 01 [ESP-ENG][1080p][31BFF408].mkv,a6177c43fdcc04b0030ce00440c6cd84f4fc065f,1,null
133,[PuyaSubs!] Dogeza de Tanondemita - 01 [ESP-ENG][720p][23C375CD].mkv,da3ca49afb2ae43ff12e92569a4794ef36c99a9c,1,43589
134,[PuyaSubs!] Dogeza de Tanondemita - 01 [ESP-ENG][1080p][2AF7E576].mkv,9f4ec7ade175b0abe37406082e5cf10b588602a1,1,43589
135,[PuyaSubs!] Noblesse - 02 [ESP-ENG][720p][9C79F7E4].mkv,270a4c27b665858bda917d36043622c34620a348,2,null
136,[PuyaSubs!] Noblesse - 02 [ESP-ENG][1080p][94CA9E6E].mkv,1cd71d8767474d148b92cf141ff922ab7b780b4e,2,null
137,[PuyaSubs!] Black Clover - 147 [ESP-ENG][720p][E4A4FE7F].mkv,b8e913950bacd4c5fd58c026b64cc58baa7e6126,147,13209
138,[PuyaSubs!] Black Clover - 147 [ESP-ENG][1080p][A64835E5].mkv,4222ece12277301a2d200136dcb8e3b5e481a208,147,13209
139,[PuyaSubs!] Shadowverse TV - 26 [ESP-ENG][720p][F701B55].mkv,cb0c6830c6050b0317ce62742bd73e9514f97ad7,26,null
140,[PuyaSubs!] Shadowverse TV - 26 [ESP-ENG][1080p][A8AFB7D9].mkv,d7e89da893e361ad901bf649801940c17fa8ae6d,26,null
141,[PuyaSubs!] Ninja Collection - 11 [ESP-ENG][720p][5327725E].mkv,1207061f561eadd2223885806912c77ab3cbd85d,11,43236
142,[PuyaSubs!] Ninja Collection - 11 [ESP-ENG][1080p][DD4BCE65].mkv,13be80d9af69c43231041b3fb40c7b68ff96e0db,11,43236
143,[PuyaSubs!] Sore dake ga Neck - 01 [ESP-ENG][720p][AFD077DE].mkv,bf105e64ed585f92a88ac0e0a676f5fb2bf4d3a7,1,43549
144,[PuyaSubs!] Sore dake ga Neck - 01 [ESP-ENG][1080p][B1873672].mkv,c9c0b39af280410d40a341e2a22ccf56d09e0623,1,43549
145,[PuyaSubs!] Osomatsu-san 3 - 01 [ESP-ENG][720p][679D39C0].mkv,0b5dad8418311ec8113937eab0ff899e05181c48,1,null
146,[PuyaSubs!] Osomatsu-san 3 - 01 [ESP-ENG][1080p][908EB80E].mkv,0bda2b97399e2e6f8ac88050ea5047a8feaaca7d,1,null
147,[PuyaSubs!] One Room 3 - 02 [ESP-ENG][720p][FCC71967].mkv,96b9f57adfeb572577851b6823025b38579329cf,2,43556
148,[PuyaSubs!] One Room 3 - 02 [ESP-ENG][1080p][FEB00CDC].mkv,26ec66d1fd9b38b12578bf8dd041e712e80ad115,2,43556
149,[PuyaSubs!] Golden Kamuy 3 - 26 [ESP-ENG][720p][C53517A5].mkv,6e96e5ac19508f37c42744f74ba00de349a63bd5,26,42435
150,[PuyaSubs!] Guraburu! - 04 [ESP-ENG][1080p][66D144E9].mkv,6e00fd978dc9a955f88102976233cee317b0b654,4,43102
151,[PuyaSubs!] Dogeza de Tanondemita - 03 [ESP-ENG][720p][4BA1539E].mkv,f57a95718a494b69a91dce3b6721929576f9c9fa,3,43589
152,[PuyaSubs!] Dogeza de Tanondemita - 03 [ESP-ENG][1080p][5AC522].mkv,d5d0afd2b818ea8c433b7db212fdca7ff0e73741,3,43589
153,[PuyaSubs!] Tsukiuta - The Animation 2 - 04 [ESP-ENG][720p][D762D2F3].mkv,368b283835bb5658b9e4679412968ca0cf058487,4,null
154,[PuyaSubs!] Tsukiuta - The Animation 2 - 04 [ESP-ENG][1080p][9EB044B6].mkv,ccec59f6c342bd3bcd5f2b996ecf6c0ee12eb2cf,4,null
155,[PuyaSubs!] Noblesse - 04 [ESP-ENG][720p][85FDD630].mkv,88bea41c7de775375e9a77bdf8e66c44fcb57185,4,null
156,[PuyaSubs!] Noblesse - 04 [ESP-ENG][1080p][D95B211A].mkv,8cfc48ac1ddc4bdb40b5be5a832c2cf61912b38b,4,null
157,[PuyaSubs!] Black Clover - 149 [ESP-ENG][720p][9345D96C].mkv,2e68e8019dd145c2419376b2cbba4feb96f16403,149,13209
158,[PuyaSubs!] Black Clover - 149 [ESP-ENG][1080p][F0EBE125].mkv,16631035dd85749e7700cb2dd8bded36631efe0e,149,13209
159,[PuyaSubs!] Shadowverse TV - 28 [ESP-ENG][720p][282BAD51].mkv,769d4e606995f62857e545b28c1ec6d0ae36960d,28,null
160,[PuyaSubs!] Shadowverse TV - 28 [ESP-ENG][1080p][4CA7F4FE].mkv,4ec32211694a7656cd44967cc14c2eef6c0f1f59,28,null
161,[PuyaSubs!] Sore dake ga Neck - 03 [ESP-ENG][720p][21D9A7DC].mkv,e19bdc824b7d8488b627061976cdd4d4dadb9c83,3,43549
162,[PuyaSubs!] Sore dake ga Neck - 03 [ESP-ENG][1080p][6D9C404B].mkv,191502a3ac5de3891a024228d34683585a3aff38,3,43549
163,[PuyaSubs!] Osomatsu-san 3 - 03 [ESP-ENG][720p][17577365].mkv,e9768b89cbf6549e398910e1cd50e5187b8f7969,3,null
164,[PuyaSubs!] Osomatsu-san 3 - 03 [ESP-ENG][1080p][53C6633F].mkv,c0c64a851489a615a7e490ced5446fab6db6a728,3,null
